AAMP
ACTN4
APOBS1
APOE
BDNF
BRCA1S2
Ch14
Ch21
Ch24
CHRNA1exons
CHST12
CMKOR1
CYP1A1
FBN1
FES
FGFR3
FGG
GHRex10
MACF1
MC4R
MDH1
NTRK3
NUP
PDE6B
PNOC
PRKDC
RABEP1
RAG1
RASA2
RBP3
RPPH1
T2R1
T2R2
T2R3
T2R4
T2R5
T2R7
T2R7LIKE1
T2R7LIKE2
T2R8
T2R9
T2R10
T2R12
T2R19
T2R34
T2R38
T2R39
T2R40
T2R41
T2R42
T2R62
T2R67
TMEM20
TRSP
TTR
VANGL2
VTN
VWF
